,id,name,county,state_code,state,zip_codes,type,population,median_income
16384,43719,Greenville,Outagamie County,WI,Wisconsin,54914 / 54942 / 54944 / 54956,Town,11874,85536
40780,22094,Troy,Lincoln County,MO,Missouri,63362 / 63379,City,11862,51313
44020,5184,Westwood Lakes,Miami-Dade County,FL,Florida,33165 / 33175,CDP,11860,47623
16336,10547,Greensburg,Decatur County,IN,Indiana,47240,City,11859,44744
43390,41003,Wells Branch,Travis County,TX,Texas,78728,CDP,11852,49721
20573,15452,Kemp Mill,Montgomery County,MD,Maryland,20901 / 20902,CDP,11850,108393
22050,12629,Lansing,Leavenworth County,KS,Kansas,66043 / 66048,City,11849,79135
25163,21665,Maryville,Nodaway County,MO,Missouri,64468,City,11846,26889
23712,27689,Los Alamos,Los Alamos County,NM,New Mexico,87544 / 87545,CDP,11843,98458
40807,11480,Troy,Perry County,IN,Indiana,47520 / 47586 / 47588,Township,11828,43027
17710,2513,Healdsburg,Sonoma County,CA,California,95448,City,11827,65638
15241,4571,Gladeview,Miami-Dade County,FL,Florida,33106 / 33147 / 33150,CDP,11825,21882
33597,36171,Rapho,Lancaster County,PA,Pennsylvania,17022 / 17512 / 17521 / 17545 / 17552 / 17564,Township,11820,67234
31528,31884,Perkins,Erie County,OH,Ohio,44870,Township,11815,57969
33736,39223,Red Bank,Hamilton County,TN,Tennessee,37343 / 37405 / 37415,City,11813,36841
3950,41100,Bluffdale,Salt Lake County / Utah County,UT,Utah,84065,City,11809,89454
20914,2604,Kingsburg,Fresno County,CA,California,93631,City,11807,57723
20353,4685,Jupiter Farms,Palm Beach County,FL,Florida,33478,CDP,11803,86435
12221,28630,Elma,Erie County,NY,New York,14043 / 14052 / 14059 / 14086 / 14127 / 14140,Town,11802,78424
37600,26640,Somersworth,Strafford County,NH,New Hampshire,03878 / 03901,City,11791,54868
26384,29235,Miller Place,Suffolk County,NY,New York,11764 / 11766 / 11953,CDP,11783,106654
44923,3432,Winton,Merced County,CA,California,95312 / 95388,CDP,11774,41118
29309,29408,North Wantagh,Nassau County,NY,New York,11783 / 11793,CDP,11773,95909
29197,29394,North Merrick,Nassau County,NY,New York,11566,CDP,11772,117150
13626,26916,Florham Park,Morris County,NJ,New Jersey,07932 / 07940 / 07960 / 07961,Borough,11766,103916
11833,39765,El Campo,Wharton County,TX,Texas,77437,City,11766,45413
8159,4441,Cocoa Beach,Brevard County,FL,Florida,32931 / 32932,City,11761,53844
42525,27418,Wanaque,Passaic County,NJ,New Jersey,07420 / 07465,Borough,11759,88125
38662,4158,Stafford,Tolland County,CT,Connecticut,06071 / 06075 / 06076 / 06077,Town,11758,62371
32467,4116,Plymouth,Litchfield County,CT,Connecticut,06781 / 06782 / 06786,Town,11749,70167
10922,14761,Dudley,Worcester County,MA,Massachusetts,1571,Town,11747,66339
18947,4648,Hudson,Pasco County,FL,Florida,34667 / 34669 / 34674,CDP,11730,37028
10675,5394,Douglas,Coffee County,GA,Georgia,31533 / 31534 / 31535,City,11727,31465
28944,14952,Norfolk,Norfolk County,MA,Massachusetts,2056,Town,11723,141278
16508,4012,Griswold,New London County,CT,Connecticut,06351 / 06383,Town,11719,59153
45283,15186,Wrentham,Norfolk County,MA,Massachusetts,02070 / 02093,Town,11715,102659
37805,17922,South Lyon,Oakland County,MI,Michigan,48178,City,11713,61523
11229,18843,East Bethel,Anoka County,MN,Minnesota,55005 / 55011 / 55092,City,11713,87245
2502,30301,Beachwood,Cuyahoga County,OH,Ohio,44122,City,11707,84219
3150,3485,Berkley,Adams County,CO,Colorado,80002 / 80003 / 80030 / 80212 / 80221,CDP,11706,48214
16674,33000,Guymon,Texas County,OK,Oklahoma,73942,City,11703,51023
18585,2534,Home Gardens,Riverside County,CA,California,92503 / 92879,CDP,11701,53480
38630,20526,St. Peter,Nicollet County,MN,Minnesota,56082,City,11692,55280
36186,9499,Schiller Park,Cook County,IL,Illinois,60018 / 60176,Village,11692,49111
16627,584,Gulf Shores,Baldwin County,AL,Alabama,36542 / 36547 / 36561,City,11689,47662
42401,27415,Wallington,Bergen County,NJ,New Jersey,7057,Borough,11689,55547
40083,29922,Terryville,Suffolk County,NY,New York,11720 / 11776,CDP,11686,92567
29028,29372,North Bellport,Suffolk County,NY,New York,11713 / 11719 / 11763 / 11772 / 11980,CDP,11680,66023
26020,21687,Mexico,Audrain County,MO,Missouri,65265,City,11680,36604
4600,21024,Bridgeton,St. Louis County,MO,Missouri,63044 / 63074 / 63134,City,11680,45858
22044,41706,Lansdowne,Loudoun County,VA,Virginia,20147 / 20176,CDP,11678,116545
27811,2864,Muscoy,San Bernardino County,CA,California,92407,CDP,11674,36108
23491,5554,Loganville,Gwinnett County / Walton County,GA,Georgia,30052,City,11674,57045
11447,42513,East Renton Highlands,King County,WA,Washington,98027 / 98038 / 98058 / 98059,CDP,11674,91382
12356,2372,Emeryville,Alameda County,CA,California,94608 / 94662,City,11671,77806
25125,10934,Martinsville,Morgan County,IN,Indiana,46151,City,11669,36403
36992,9546,Shiloh Valley,St. Clair County,IL,Illinois,62220 / 62221 / 62225 / 62254 / 62258 / 62269,Township,11662,76632
36546,32185,Seven Hills,Cuyahoga County,OH,Ohio,44131,City,11655,71923
12499,42528,Enumclaw,King County / Pierce County,WA,Washington,98022,City,11654,54325
6715,34234,Center,Beaver County,PA,Pennsylvania,15001 / 15061,Township,11652,71760
37142,3200,Signal Hill,Los Angeles County,CA,California,90755,City,11649,65773
21809,4721,Lakeland Highlands,Polk County,FL,Florida,33813,CDP,11649,82175
34435,27284,River Edge,Bergen County,NJ,New Jersey,7661,Borough,11647,103607
27080,31636,Montville,Medina County,OH,Ohio,44256 / 44273 / 44281,Township,11646,103490
27219,14470,Morgan City,St. Martin Parish / St. Mary Parish,LA,Louisiana,70380 / 70381,City,11646,43354
40487,40926,Tomball,Harris County / Montgomery County,TX,Texas,77375 / 77377,City,11643,44086
32765,44427,Port Washington,Ozaukee County,WI,Wisconsin,53024 / 53074,City,11642,62839
12384,16855,Emmett,Calhoun County,MI,Michigan,49014 / 49020 / 49033,Charter Township,11639,46549
6304,14720,Carver,Plymouth County,MA,Massachusetts,02330 / 02355 / 02366,Town,11639,74375
41423,27395,Upper Montclair,Essex County,NJ,New Jersey,07042 / 07043,CDP,11637,180479
45065,30159,Woodbury,Orange County,NY,New York,10917 / 10926 / 10930 / 10950,Town,11637,122232
11319,16808,East Grand Rapids,Kent County,MI,Michigan,49506,City,11637,112000
23710,2722,Los Alamitos,Orange County,CA,California,90720 / 90721,City,11636,80033
1221,22968,Archdale,Guilford County / Randolph County,NC,North Carolina,27263 / 27370,City,11631,50420
12014,34666,Elizabethtown,Lancaster County,PA,Pennsylvania,17022,Borough,11629,51986
17570,5874,Hawaiian Paradise Park,Hawaii County,HI,Hawaii,96749,CDP,11623,47343
34097,44497,Richfield,Washington County,WI,Wisconsin,53017 / 53022 / 53027 / 53033 / 53076,Village,11622,93919
44146,20790,White Bear,Ramsey County,MN,Minnesota,55038 / 55110 / 55126 / 55127,Township,11621,92372
1599,14666,Athol,Worcester County,MA,Massachusetts,01331 / 01368,Town,11619,47598
16671,26960,Guttenberg,Hudson County,NJ,New Jersey,7093,Town,11618,56837
33307,29620,Putnam Valley,Putnam County,NY,New York,10512 / 10516 / 10524 / 10537 / 10541 / 10579 / 10588,Town,11616,101277
39478,3268,Sun Village,Los Angeles County,CA,California,93543 / 93552 / 93591,CDP,11613,52554
45545,5214,Yulee,Nassau County,FL,Florida,32034 / 32041 / 32097,CDP,11609,54419
22059,29055,Lansing,Tompkins County,NY,New York,13068 / 13073 / 13092 / 14850 / 14882,Town,11608,67721
4464,42033,Brattleboro,Windham County,VT,Vermont,05301 / 05302 / 05303 / 05304,Town,11607,47597
14731,7075,Garden City,Ada County,ID,Idaho,83703 / 83714,City,11602,38086
24372,1247,Magnolia,Columbia County,AR,Arkansas,71753 / 71754,City,11601,34163
22675,39119,Lewisburg,Marshall County,TN,Tennessee,37019 / 37091,City,11600,34201
8067,39620,Clute,Brazoria County,TX,Texas,77531 / 77541 / 77566,City,11586,45307
7527,14256,Claiborne,Ouachita Parish,LA,Louisiana,71291,CDP,11575,52121
37505,40812,Snyder,Scurry County,TX,Texas,79549 / 79550,City,11572,51352
15721,43685,Grafton,Ozaukee County,WI,Wisconsin,53024,Village,11568,65098
28620,42740,Newcastle,King County,WA,Washington,98056 / 98059,City,11567,111967
1326,38912,Arlington,Shelby County,TN,Tennessee,38002 / 38028,Town,11566,93000
13114,30835,Falls,Hocking County,OH,Ohio,43138 / 43149 / 43766,Township,11562,36269
10505,34499,Dingman,Pike County,PA,Pennsylvania,18328 / 18337 / 18428 / 18458,Township,11559,80958
23881,35436,Lower Gwynedd,Montgomery County,PA,Pennsylvania,19002 / 19422 / 19436 / 19437 / 19454 / 19477,Township,11558,92292
